Login,Open Time,Type,Symbol,Volume
901204,2023.08.01 03:52:21,buy,xauusd,0.110441708
671156,2023.08.01 03:55:54,buy,xauusd,0.119671753
702000,2023.08.01 04:01:42,buy,xauusd,0.096972261
493791,2023.08.01 04:06:39,buy,xauusd,0.102818131
233748,2023.08.01 04:09:07,buy,xauusd,0.080456085
417598,2023.08.01 04:32:42,buy,xauusd,0.11437279
175434,2023.08.01 04:55:03,buy,xauusd,0.517711539
524022,2023.08.01 05:00:57,buy,xauusd,0.090081336
750279,2023.08.01 05:12:11,buy,xauusd,0.104216454
132409,2023.08.01 05:12:44,buy,xauusd,0.365253494
511920,2023.08.01 05:32:33,buy,xauusd,0.110370777
888368,2023.08.01 06:23:31,buy,xauusd,0.11166028
395135,2023.08.01 13:14:23,buy,xauusd,0.085360829
394641,2023.08.01 06:45:37,buy,xauusd,0.102976188
305017,2023.08.01 08:08:07,buy,xauusd,0.11995565
857852,2023.08.01 06:46:47,buy,xauusd,0.096568686
137472,2023.08.01 06:56:10,buy,xauusd,0.077178142
731788,2023.08.01 07:02:07,buy,xauusd,0.102774675
579171,2023.08.01 14:21:05,buy,xauusd,0.10624881
992559,2023.08.01 07:27:13,buy,xauusd,0.123840096
236338,2023.08.01 07:32:37,buy,xauusd,0.107569661
472083,2023.08.01 07:46:50,buy,xauusd,0.094398818
493791,2023.08.01 08:07:27,buy,xauusd,0.102818131
524022,2023.08.01 08:10:50,buy,xauusd,0.090081336
992559,2023.08.01 08:15:08,buy,xauusd,0.123840096
312254,2023.08.01 08:18:04,buy,xauusd,0.122406185
278727,2023.08.01 09:50:01,buy,xauusd,0.098795073
137472,2023.08.01 08:28:54,buy,xauusd,0.077178142
334482,2023.08.01 08:30:57,buy,xauusd,0.293116143
719442,2023.08.01 08:47:06,buy,xauusd,0.104031954
255256,2023.08.01 08:55:36,buy,xauusd,0.172810362
534679,2023.08.01 13:13:32,buy,xauusd,0.174159163
840095,2023.08.01 09:05:28,buy,xauusd,0.106377804
888368,2023.08.01 09:11:34,buy,xauusd,0.11166028
328794,2023.08.01 09:24:26,buy,xauusd,0.08966498
317436,2023.08.01 09:38:11,buy,xauusd,0.155166837
511920,2023.08.01 10:29:37,buy,xauusd,0.110370777
919310,2023.08.01 10:45:24,buy,xauusd,0.218301001
264039,2023.08.01 10:52:54,buy,xauusd,0.084519856
564387,2023.08.01 11:11:15,buy,xauusd,0.120565503
567040,2023.08.01 11:12:13,buy,xauusd,0.159113189
849627,2023.08.01 11:38:24,buy,xauusd,0.156547793
432007,2023.08.01 12:07:06,buy,xauusd,0.076358484
342002,2023.08.01 12:23:52,buy,xauusd,0.099156251
222288,2023.08.01 12:25:20,buy,xauusd,0.078634883
312254,2023.08.01 12:32:32,buy,xauusd,0.122406185
137472,2023.08.01 13:10:27,buy,xauusd,0.077178142
540571,2023.08.01 13:24:59,buy,xauusd,0.114144342
919310,2023.08.01 14:00:55,buy,xauusd,0.109150501
394641,2023.08.01 14:14:27,buy,xauusd,0.102976188
236338,2023.08.01 14:19:43,buy,xauusd,0.107569661
719442,2023.08.01 14:23:58,buy,xauusd,0.104031954
891671,2023.08.01 14:28:23,buy,xauusd,0.156667279
671156,2023.08.01 14:30:27,buy,xauusd,0.119671753
702000,2023.08.01 14:48:47,sell,xauusd,0.387889043
394641,2023.08.01 14:52:46,buy,xauusd,0.102976188
731788,2023.08.01 15:28:51,sell,xauusd,0.102774675
511920,2023.08.01 16:00:14,buy,xauusd,0.110370777
196182,2023.08.01 16:00:22,buy,xauusd,0.431422731
